Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
CONFIRMED,19.27153892,1.93,393.0,5.66,4077.0,0.56,293.97336,50.53191
CONFIRMED,10.06524317,1.91,488.0,13.43,4077.0,0.56,293.97336,50.53191
CONFIRMED,12.3935651,2.66,677.0,49.68,5557.0,0.75,296.02133,50.56778
CONFIRMED,43.84439721,2.87,531.0,18.77,5854.0,1.012,300.86398,44.337551
FALSE POSITIVE,3.341913228,21.55,1032.0,268.67,5295.0,0.811,292.31595,38.27029
FALSE POSITIVE,1.626630225,32.43,1547.0,1355.88,5735.0,0.973,294.36819,38.31028
CONFIRMED,2.711504086,3.12,1420.0,960.79,6214.0,1.076,291.65353,38.494659
CONFIRMED,7.21203748,3.32,1025.0,260.58,6214.0,1.076,291.65353,38.494659
FALSE POSITIVE,14.1798187,1.88,711.0,60.35,5799.0,0.878,291.0448,51.321671
CONFIRMED,8.47237911,2.59,751.0,75.44,5354.0,0.788,296.36652,51.319519
CONFIRMED,60.4189369,2.36,390.0,5.49,5354.0,0.788,296.36652,51.319519
CONFIRMED,12.611904345,7.4,753.0,76.15,5795.0,0.919,289.11221,51.737381
FALSE POSITIVE,1.433769925,46.58,1920.0,3209.29,6017.0,1.339,290.84369,37.728828
FALSE POSITIVE,10.31872301,28.59,876.0,139.26,5927.0,1.06,291.84891,37.713501
CONFIRMED,2.539183147,2.06,1332.0,743.09,5519.0,1.062,291.43997,37.905659
CONFIRMED,6.770300385,2.77,812.0,102.87,5653.0,0.679,290.87051,38.273628
FALSE POSITIVE,0.444291966,27.51,1836.0,2706.26,5255.0,0.636,290.99689,38.28492
CANDIDATE,10.181584004,7.73,812.0,102.91,5988.0,0.836,291.28195,38.241669
CONFIRMED,20.06036336,1.96,361.0,4.0,3950.0,0.493,286.07913,39.27832
CONFIRMED,46.1842039,1.83,273.0,1.32,3950.0,0.493,286.07913,39.27832
CONFIRMED,23.9800854,1.31,649.0,41.94,5854.0,1.012,300.86398,44.337551
CONFIRMED,7.82502168,1.2,494.0,14.05,3950.0,0.493,286.07913,39.27832
CONFIRMED,3.895936525,7.34,1005.0,241.62,5557.0,0.774,294.65524,39.308361
CONFIRMED,22.36646466,2.32,536.0,19.45,5395.0,0.734,294.71063,39.52174
CONFIRMED,1.625522174,9.73,1579.0,1467.41,5539.0,1.106,293.87192,38.422939
CANDIDATE,19.620346923,13.6,643.0,40.39,5710.0,0.905,293.81619,38.563568
FALSE POSITIVE,7.544039,17.47,838.0,116.46,5657.0,0.824,293.94116,38.601101
CONFIRMED,9.02930689,2.57,757.0,77.75,5349.0,0.82,290.33362,38.72823
FALSE POSITIVE,10.328035714,13.28,843.0,119.31,5627.0,1.024,287.69675,38.886452
CONFIRMED,143.2063047,8.9,308.0,2.14,5485.0,0.867,285.28363,38.947281
CONFIRMED,6.164876,0.79,1021.0,256.35,5854.0,1.012,300.86398,44.337551
CONFIRMED,60.32494216,12.19,411.0,6.77,5485.0,0.867,285.28363,38.947281
CONFIRMED,29.1598615,1.91,524.0,17.85,5485.0,0.867,285.28363,38.947281
FALSE POSITIVE,1.540397253,25.69,1470.0,1105.68,5663.0,0.915,286.92639,38.921631
FALSE POSITIVE,2.99025443,1.7,918.0,168.45,4667.0,0.731,287.74881,38.92955
CONFIRMED,1.594745374,11.3,1539.0,1329.42,5934.0,0.893,285.21381,39.027481
CONFIRMED,4.783002698,2.5,886.0,145.48,5170.0,0.807,287.09399,39.060719
CONFIRMED,20.50588921,3.41,518.0,17.06,4905.0,0.761,289.31543,39.153278
CONFIRMED,3.340218842,2.03,656.0,43.73,3950.0,0.493,286.07913,39.27832
FALSE POSITIVE,2.507089906,30.26,1326.0,730.47,5926.0,0.939,295.37805,40.493401
CONFIRMED,18.64932728,3.12,701.0,57.13,5775.0,1.053,290.46176,40.562462
CONFIRMED,4.90144976,1.7,1262.0,598.74,5847.0,1.402,297.02826,48.208611
CONFIRMED,9.75192101,2.76,870.0,135.66,5775.0,1.053,290.46176,40.562462
CONFIRMED,38.5576546,4.02,550.0,21.71,5775.0,1.053,290.46176,40.562462
CONFIRMED,3.525632539,11.58,975.0,213.12,5150.0,0.793,290.58173,40.5774
CANDIDATE,34.84398644,7.61,511.0,16.1,5509.0,0.871,285.92001,39.624828
CONFIRMED,7.748094239,5.52,964.0,204.39,5973.0,1.085,294.4899,39.771439
CONFIRMED,23.96793669,1.8,329.0,2.77,3747.0,0.524,283.86639,39.898079
CONFIRMED,8.29561738,1.82,469.0,11.39,3747.0,0.524,283.86639,39.898079
CONFIRMED,8.11437482,2.1,460.0,10.55,3692.0,0.517,288.81201,40.033401
FALSE POSITIVE,38.036729482,27.5,500.0,14.81,5575.0,0.932,294.14789,40.055538
CANDIDATE,4.64090031,30.09,1155.0,421.08,6463.0,0.826,295.11371,40.071171
FALSE POSITIVE,3.747838198,13.65,1031.0,266.76,5514.0,0.826,291.06152,50.265129
CONFIRMED,14.74914825,2.89,874.0,137.91,5847.0,1.402,297.02826,48.208611
CONFIRMED,21.81295996,3.38,639.0,39.33,5601.0,0.999,294.77686,40.15374
FALSE POSITIVE,7.91936937,10.34,814.0,104.0,5690.0,0.776,283.53845,40.217999
CANDIDATE,1.028436523,72.77,1947.0,3400.48,6228.0,0.99,296.00699,40.295429
CONFIRMED,15.37562369,11.01,600.0,30.54,4986.0,0.833,283.25354,40.358189
CONFIRMED,8.10363271,2.11,687.0,52.82,4861.0,0.732,283.22141,40.421829
CONFIRMED,4.71510843,1.46,823.0,108.84,4861.0,0.732,283.22141,40.421829
CONFIRMED,6.365839713,2.44,914.0,165.33,5776.0,0.849,291.14951,40.420521
