Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
CONFIRMED,19.0054098,28.47,758.0,78.19,6347.0,1.036,293.66885,46.37925
FALSE POSITIVE,1.96433113,1.33,1638.0,1704.63,6306.0,1.121,297.40906,39.490292
CANDIDATE,2.81043228,1.43,1701.0,1978.53,5415.0,2.079,295.45367,42.858799
CONFIRMED,0.968527683,1.21,1677.0,1867.0,5580.0,0.886,289.88437,45.211498
CONFIRMED,0.664074145,1.19,1703.0,1998.48,5178.0,0.797,291.27899,47.687649
FALSE POSITIVE,11.7489907,1.01,1114.0,363.51,6440.0,1.655,293.50702,50.450119
CANDIDATE,175.603366,2.87,348.0,3.46,6225.0,1.009,287.75229,42.244781
CONFIRMED,3.849371737,12.94,2034.0,4055.29,6244.0,2.992,294.35654,38.94738
FALSE POSITIVE,0.366197145,51.34,9983.0,2335438.28,4448.0,31.5,296.9679,40.926769
CONFIRMED,4.164384505,2.54,590.0,28.75,3808.0,0.508,298.25812,47.604939
CONFIRMED,2.10433534,0.79,662.0,45.34,3605.0,0.433,285.92889,38.520981
CONFIRMED,28.8431751,2.66,491.0,13.77,5151.0,0.785,298.73523,40.76416
FALSE POSITIVE,1.378649746,6.51,734.0,68.34,3440.0,0.439,285.18512,49.565369
FALSE POSITIVE,1.112207126,0.73,1797.0,2467.09,6046.0,0.972,291.5321,50.681599
CANDIDATE,64.034363,3.47,411.0,6.72,5691.0,0.783,284.11978,40.524281
FALSE POSITIVE,1.303576682,1.51,1694.0,1940.45,6045.0,0.955,293.62442,38.732479
FALSE POSITIVE,1.958577398,1.8,1252.0,579.19,5402.0,0.816,284.14609,40.272331
CONFIRMED,5.19103699,1.92,1183.0,462.91,6321.0,1.125,293.12738,42.320099
CONFIRMED,4.86638504,1.32,1121.0,372.7,5688.0,1.111,282.99973,40.557449
FALSE POSITIVE,4.79176993,0.81,883.0,143.74,5138.0,0.756,290.23987,39.564529
CONFIRMED,25.1933989,1.95,513.0,16.34,5009.0,0.84,289.85889,48.693851
FALSE POSITIVE,0.759762021,24.2,2280.0,6419.35,6386.0,1.123,290.53607,40.705849
CANDIDATE,4.790912471,2.25,717.0,62.51,4359.0,0.676,288.9039,39.154209
CONFIRMED,6.49441464,1.75,732.0,68.05,4769.0,0.742,284.58578,47.079529
CONFIRMED,2.576571021,1.57,717.0,62.42,3834.0,0.539,292.29459,40.591789
CONFIRMED,28.4750006,2.64,489.0,13.5,4996.0,0.831,285.86929,42.728088
CONFIRMED,14.7966306,0.98,874.0,138.25,6175.0,1.307,281.83533,44.155918
CONFIRMED,11.25401871,2.42,888.0,147.13,5995.0,1.118,280.25839,43.835758
CONFIRMED,9.18244299,1.24,1052.0,289.74,6194.0,1.314,290.99527,45.192211
CONFIRMED,14.6134781,1.12,901.0,155.87,6194.0,1.314,290.99527,45.192211
FALSE POSITIVE,119.682075,30.39,351.0,3.59,5778.0,0.911,291.20081,38.747849
CONFIRMED,42.9923284,3.32,496.0,14.33,5593.0,0.945,296.13281,48.977402
CONFIRMED,6.88341278,2.63,1080.0,321.63,6139.0,1.193,284.63519,40.71983
FALSE POSITIVE,4.593595496,44.14,1022.0,258.12,5717.0,0.884,297.46594,48.089329
CONFIRMED,197.5111484,9.52,391.0,5.54,5616.0,1.674,289.65125,43.824421
CONFIRMED,11.1726723,1.5,1019.0,255.06,5616.0,1.674,289.65125,43.824421
CONFIRMED,2.53573284,1.36,1671.0,1842.18,5616.0,1.674,289.65125,43.824421
CONFIRMED,6.79164656,1.01,994.0,230.81,5772.0,1.003,287.79819,45.656712
CONFIRMED,11.8376933,1.0,826.0,110.03,5772.0,1.003,287.79819,45.656712
CONFIRMED,18.5525162,2.53,612.0,33.14,5569.0,0.829,294.57623,38.45697
CANDIDATE,47.3659328,11.97,481.0,12.62,5708.0,0.902,289.88446,41.906551
CONFIRMED,13.3669309,0.27,656.0,43.71,5417.0,0.772,284.05954,44.518215
FALSE POSITIVE,1.045492348,0.83,2291.0,6522.69,6057.0,1.457,289.0787,39.04034
CONFIRMED,4.86634094,1.94,881.0,142.39,4996.0,0.831,285.86929,42.728088
CONFIRMED,5.60402307,1.25,774.0,84.65,4847.0,0.737,299.38159,45.592239
CONFIRMED,13.0313583,2.88,774.0,84.94,5514.0,1.071,299.16953,43.44109
CONFIRMED,40.9905002,2.41,627.0,36.5,5842.0,1.41,287.83847,43.153229
CONFIRMED,57.2932309,1.95,355.0,3.76,4806.0,0.729,285.29193,41.255692
CONFIRMED,8.00504749,1.52,1035.0,271.68,6398.0,1.101,296.30197,50.672321
CONFIRMED,12.13070414,1.61,901.0,155.85,6398.0,1.101,296.30197,50.672321
CONFIRMED,5.61357653,1.41,1165.0,435.61,6398.0,1.101,296.30197,50.672321
CANDIDATE,29.2254372,1.35,614.0,33.69,6049.0,1.008,292.32419,43.033451
FALSE POSITIVE,1.33255087,1.19,1728.0,2107.29,5774.0,1.054,294.53516,46.506149
FALSE POSITIVE,40.8792243,1.62,437.0,8.59,5383.0,0.72,292.36026,42.398022
CONFIRMED,18.8262877,2.34,591.0,28.85,5215.0,0.845,285.14264,49.800671
CANDIDATE,13.9034057,1.55,646.0,41.08,5261.0,0.819,299.29227,41.15308
CONFIRMED,3.41045981,1.06,892.0,149.88,4983.0,0.651,286.75278,49.064911
CONFIRMED,4.76702759,1.19,1046.0,282.97,5629.0,0.937,297.46362,48.181412
CONFIRMED,13.62801048,3.28,639.0,39.48,5052.0,0.855,284.6062,41.196381
CANDIDATE,53.3580444,3.41,474.0,11.94,5481.0,1.036,291.55051,50.825611
CONFIRMED,16.83203175,1.86,690.0,53.44,5518.0,1.008,294.00946,42.880772
FALSE POSITIVE,13.37499553,2.01,703.0,57.85,5263.0,0.961,283.1788,41.989922
FALSE POSITIVE,4.35370136,1.33,1179.0,456.83,5992.0,0.985,295.26068,40.766392
FALSE POSITIVE,134.96694,0.87,385.0,5.18,6154.0,1.053,291.39886,38.228611
CONFIRMED,1.385787741,0.55,1008.0,245.15,4239.0,0.6,287.1427,43.616051
CONFIRMED,12.02295362,3.28,776.0,85.78,5982.0,0.879,285.67377,45.639858
CONFIRMED,16.79716262,2.75,503.0,15.19,4652.0,0.697,301.72076,44.41206
CONFIRMED,18.59611518,1.53,371.0,4.48,3834.0,0.539,292.29459,40.591789
CONFIRMED,5.77440326,0.8,529.0,18.6,3808.0,0.508,298.25812,47.604939
FALSE POSITIVE,2.622134451,1.64,1548.0,1359.14,5864.0,1.369,292.99469,43.180672
CONFIRMED,11.47685263,1.58,796.0,94.94,5550.0,1.032,289.13467,47.062988
CANDIDATE,73.711039,1.77,563.0,23.81,6374.0,1.502,291.45755,37.742935
CANDIDATE,14.43348326,16.25,558.0,22.91,4915.0,0.702,290.82437,45.355019
FALSE POSITIVE,40.0088894,20.75,585.0,27.65,6237.0,1.023,295.06583,46.466389
CANDIDATE,6.35705314,1.59,990.0,227.07,5982.0,0.96,294.18561,38.108669
FALSE POSITIVE,6.58738839,1.35,871.0,136.02,5616.0,0.822,291.17999,39.10508
FALSE POSITIVE,0.759706632,1.38,3834.0,51080.76,8621.0,2.094,284.03293,42.168709
CONFIRMED,4.37033233,1.56,1191.0,475.39,5657.0,1.182,287.40533,45.918011
CANDIDATE,1.530515205,0.84,608.0,32.46,3462.0,0.259,294.46848,44.75396
FALSE POSITIVE,1.08070294,1.04,1565.0,1419.52,5482.0,0.813,291.28632,49.24308
FALSE POSITIVE,4.74254518,1.77,1118.0,369.34,6046.0,1.007,286.50739,41.922131
FALSE POSITIVE,18.13559979,24.49,744.0,72.36,6184.0,1.038,287.76083,40.742771
CONFIRMED,51.20690303,,,,,,284.05954,44.518215
CONFIRMED,3.70429015,1.45,1839.0,2708.57,6732.0,1.927,282.30121,46.516201
CONFIRMED,37.3331165,2.5,657.0,44.17,5623.0,1.588,287.80557,45.340549
CANDIDATE,17.6997392,1.96,523.0,17.73,4807.0,0.742,295.10391,39.268749
CONFIRMED,7.9709719,2.27,760.0,79.1,5237.0,0.826,288.02969,40.344151
CONFIRMED,6.03355539,3.34,1598.0,1540.84,4924.0,3.588,286.71564,48.645279
CONFIRMED,3.02558494,1.62,1484.0,1148.47,6123.0,1.263,286.3443,37.411968
FALSE POSITIVE,0.933746783,1.3,1309.0,696.63,4643.0,0.663,292.84448,47.550419
FALSE POSITIVE,6.09740316,45.49,1826.0,2630.31,8828.0,1.828,299.54865,41.241371
CANDIDATE,0.754457729,2.07,2131.0,4879.62,5561.0,1.193,290.68469,40.255451
CONFIRMED,2.7612237,1.84,2017.0,3906.36,6381.0,2.232,285.7135,41.605885
FALSE POSITIVE,5.59727625,1.26,975.0,213.15,5796.0,0.876,295.43375,42.16766
CANDIDATE,62.6825769,39.8,916.0,166.36,7058.0,3.101,289.37381,50.934341
FALSE POSITIVE,50.5715805,2.74,406.0,6.44,5262.0,0.783,282.0174,44.38578
CANDIDATE,16.2707207,28.42,827.0,110.79,6117.0,1.244,294.94009,39.232571
CONFIRMED,2.032319072,1.87,1542.0,1333.35,6156.0,1.05,289.18668,50.937561
FALSE POSITIVE,4.100870416,82.46,1413.0,939.61,5923.0,1.51,287.16486,39.376942
CONFIRMED,4.35407371,1.63,1043.0,279.53,5455.0,0.909,290.74432,43.26078
CONFIRMED,11.32269749,1.51,554.0,22.24,4563.0,0.642,287.65741,48.982159
CONFIRMED,13.71218522,2.47,676.0,49.26,5550.0,0.831,294.53354,46.618271
CONFIRMED,12.14684625,1.75,1097.0,342.49,5877.0,1.963,298.9917,40.142422
CONFIRMED,7.46718958,1.04,1035.0,271.25,6161.0,1.169,288.0593,51.35445
CANDIDATE,5.42204257,1.39,1222.0,527.11,6123.0,1.263,286.3443,37.411968
CONFIRMED,48.8882668,2.96,386.0,5.23,4821.0,0.788,284.74792,46.373619
CONFIRMED,51.1319346,2.43,542.0,20.36,6071.0,1.107,285.21985,38.805882
FALSE POSITIVE,133.516435,2.01,344.0,3.3,5989.0,0.848,292.02341,48.226959
CONFIRMED,39.8312536,1.46,420.0,7.33,5026.0,0.759,286.28595,37.387058
CONFIRMED,9.549277089,1.57,374.0,4.62,3547.0,0.369,284.92184,45.972401
CANDIDATE,24.1073172,2.74,1065.0,304.22,6585.0,2.517,292.09332,37.61348
CONFIRMED,17.60461401,2.64,362.0,4.07,3744.0,0.516,290.40149,48.82259
FALSE POSITIVE,1.228721184,1.62,1324.0,728.99,4897.0,0.764,291.85318,45.11092
CANDIDATE,51.5738653,2.41,417.0,7.12,5380.0,0.813,292.70343,46.415871
CONFIRMED,4.69505576,1.49,1098.0,343.6,5999.0,0.959,290.68524,43.859638
FALSE POSITIVE,0.569115976,1.8,1589.0,1504.24,4788.0,0.656,290.65125,41.234505
FALSE POSITIVE,7.258450123,5.53,880.0,141.3,5638.0,0.92,290.63651,38.707668
FALSE POSITIVE,6.0959841,0.99,988.0,225.07,5826.0,0.885,296.1181,50.51659
CONFIRMED,22.9221181,1.33,684.0,51.7,5897.0,1.081,291.57898,44.531712
CONFIRMED,16.10474503,3.21,1159.0,425.93,5822.0,2.886,297.21579,47.378521
CONFIRMED,7.42697378,1.4,899.0,154.52,5573.0,0.982,297.07037,42.977741
FALSE POSITIVE,0.874629873,0.72,1597.0,1538.25,5099.0,0.832,290.30295,46.79081
FALSE POSITIVE,5.46091846,1.25,1106.0,353.34,6319.0,0.93,295.78381,43.1824
CONFIRMED,3.17323012,0.88,830.0,112.21,4500.0,0.633,284.82803,44.60873
CONFIRMED,13.2970695,0.91,515.0,16.64,4500.0,0.633,284.82803,44.60873
CONFIRMED,5.398752862,2.21,1140.0,398.33,5790.0,1.198,291.03232,49.040272
FALSE POSITIVE,5.26648126,1.07,1155.0,420.53,6204.0,1.065,293.96689,42.841888
FALSE POSITIVE,2.67596808,1.57,998.0,234.19,4732.0,0.795,294.0704,38.181702
CONFIRMED,7.41683033,3.36,1425.0,973.85,4938.0,3.324,290.62183,51.057301
CONFIRMED,0.727331746,0.67,849.0,122.92,3460.0,0.356,283.40195,41.516331
CONFIRMED,1.302017467,1.37,1344.0,772.73,4948.0,0.816,295.90921,51.347939
CONFIRMED,8.63050092,1.43,739.0,70.63,5352.0,0.764,289.37704,40.00116
FALSE POSITIVE,12.49117388,1.36,763.0,80.08,5753.0,0.911,287.13828,41.77771
CONFIRMED,3.27645723,1.71,1195.0,482.56,5812.0,0.963,284.90573,43.949162
CONFIRMED,16.0573291,2.27,645.0,41.04,5644.0,0.806,296.75339,49.378109
FALSE POSITIVE,8.44326557,1.97,934.0,179.79,6081.0,1.023,284.28259,46.991638
CONFIRMED,4.60300256,1.32,848.0,122.02,4821.0,0.788,294.6647,39.783829
FALSE POSITIVE,16.9329284,2.46,793.0,93.34,6310.0,1.095,290.06293,39.922272
CONFIRMED,12.00089667,1.47,632.0,37.81,5195.0,0.69,285.82233,45.711891
FALSE POSITIVE,1.169010526,91.91,3766.0,47688.8,5944.0,5.847,289.93927,41.502659
CONFIRMED,1.916940872,0.89,1246.0,571.25,5083.0,0.872,294.88965,49.379768
CONFIRMED,5.05661302,1.15,1049.0,286.32,5926.0,0.939,294.22446,50.075588
CONFIRMED,24.3344939,1.74,647.0,41.3,6091.0,0.967,296.89484,44.37178
CONFIRMED,131.187921,2.34,284.0,1.54,4898.0,0.803,298.59482,41.43594
FALSE POSITIVE,2.17489806,1.08,1496.0,1187.26,5749.0,1.15,297.78647,45.41748
CONFIRMED,25.8859397,1.66,542.0,20.35,5190.0,0.899,287.70688,40.685242
CONFIRMED,28.6253502,2.38,573.0,25.54,5774.0,0.941,285.80322,44.873428
CONFIRMED,6.98141327,1.42,1384.0,865.81,6054.0,2.163,284.59372,46.44978
FALSE POSITIVE,1.319677953,1.13,1843.0,2729.71,6306.0,1.076,298.34653,40.13979
CONFIRMED,8.94337724,1.48,946.0,188.93,6074.0,1.005,296.45575,39.598591
CANDIDATE,0.827151296,19.1,5171.0,168151.39,4452.0,11.895,288.18198,46.246181
CONFIRMED,12.282998287,2.83,431.0,8.14,3879.0,0.537,284.94098,46.56654
FALSE POSITIVE,0.328686504,1.11,2324.0,6891.11,5430.0,0.847,288.41684,47.731091
CONFIRMED,6.383159135,2.73,530.0,18.73,3757.0,0.576,285.57434,49.962269
CONFIRMED,5.57654782,0.92,1183.0,462.81,6187.0,1.238,290.02591,48.335949
CONFIRMED,115.6863392,3.52,401.0,6.09,5800.0,1.149,291.2681,44.48819
CONFIRMED,3.81371423,1.37,1029.0,264.63,5547.0,0.82,291.39786,45.588558
CONFIRMED,38.0970717,1.58,242.0,0.81,3554.0,0.398,294.36609,49.915058
CANDIDATE,11.6191707,2.21,756.0,77.43,5870.0,0.834,299.06168,43.720329
FALSE POSITIVE,2.637574744,9.16,1385.0,868.86,6108.0,1.03,293.6701,46.29567
CANDIDATE,38.2292037,1.51,359.0,3.92,4544.0,0.598,290.83627,47.444939
CONFIRMED,16.3012727,1.54,557.0,22.73,4873.0,0.796,285.29575,44.55275
CONFIRMED,13.32354078,1.32,872.0,136.61,6113.0,1.218,286.62576,37.5373
CONFIRMED,2.607545159,2.07,1431.0,993.79,6147.0,1.096,287.79385,45.98024
CONFIRMED,3.24417541,1.84,1047.0,283.66,5094.0,0.87,291.95999,44.900021
CANDIDATE,176.845697,42.05,291.0,1.69,5592.0,0.797,294.39749,44.124199
FALSE POSITIVE,6.85567248,1.27,897.0,153.07,5734.0,0.883,288.88123,44.959209
FALSE POSITIVE,2.28607282,1.01,942.0,186.39,4583.0,0.654,297.22394,47.025162
CONFIRMED,9.60505976,0.91,941.0,185.15,5790.0,1.198,291.03232,49.040272
FALSE POSITIVE,3.54789928,0.99,987.0,224.45,5399.0,0.725,296.96017,47.964771
CANDIDATE,18.0243482,1.98,683.0,51.44,5955.0,0.91,297.24017,49.616859
CANDIDATE,16.4793229,1.53,537.0,19.62,4908.0,0.716,296.72305,49.106659
CONFIRMED,3.65690909,1.32,1368.0,828.52,6078.0,1.271,293.50049,44.932461
CONFIRMED,88.0712769,2.4,330.0,2.79,4939.0,0.819,292.30743,46.62664
CONFIRMED,8.38395796,3.24,1285.0,645.64,5405.0,2.605,292.12521,41.40781
CONFIRMED,1.68189051,1.27,1790.0,2432.14,5827.0,1.374,289.95651,47.02039
FALSE POSITIVE,8.59000355,1.82,843.0,119.26,5817.0,0.876,298.75491,46.941589
CONFIRMED,44.9977604,1.59,508.0,15.74,5871.0,0.983,282.23969,43.244049
CONFIRMED,7.12815163,1.36,1373.0,839.5,6311.0,1.994,284.42273,49.10622
CANDIDATE,2.10081629,1.65,1378.0,852.78,5815.0,0.918,291.87799,41.769581
FALSE POSITIVE,0.872952088,25.5,3165.0,23715.46,7102.0,2.082,289.80298,47.259159
CONFIRMED,7.01074295,3.76,1453.0,1054.63,5814.0,2.476,290.6333,40.13699
CONFIRMED,17.2922631,2.13,809.0,101.22,5936.0,1.299,296.37692,50.621471
CONFIRMED,94.289223,2.11,369.0,4.39,5632.0,0.904,287.06638,41.874908
CONFIRMED,14.02634692,2.66,822.0,108.07,5970.0,1.131,286.25165,42.378479
FALSE POSITIVE,12.425866431,2.12,741.0,71.19,5428.0,0.94,297.58801,40.57798
CONFIRMED,25.5433704,2.11,772.0,84.0,5422.0,1.782,292.88528,41.27924
FALSE POSITIVE,33.8542586,15.96,1326.0,730.99,4553.0,10.472,294.78235,39.596519
CONFIRMED,45.0909201,2.44,487.0,13.27,5790.0,0.9,292.11517,49.256432
CONFIRMED,15.0539886,1.44,665.0,46.3,5475.0,0.818,298.95032,46.692799
CANDIDATE,3.67936863,0.92,1112.0,361.27,5676.0,0.848,298.35361,41.820068
CANDIDATE,7.4464635,0.77,879.0,141.12,5676.0,0.848,298.35361,41.820068
CONFIRMED,159.388788,2.73,289.0,1.65,5135.0,0.874,293.6394,44.982529
CONFIRMED,1.565412613,1.73,648.0,41.85,3464.0,0.328,282.25021,44.921108
CONFIRMED,5.14892346,1.72,436.0,8.54,3464.0,0.328,282.25021,44.921108
FALSE POSITIVE,0.730943372,1.37,2190.0,5461.14,6143.0,1.067,289.7934,38.385078
FALSE POSITIVE,0.515552803,13.96,1807.0,2508.21,5068.0,0.73,281.55936,42.520489
CONFIRMED,2.522590567,25.82,1205.0,499.07,5591.0,0.86,288.75073,47.490921
CONFIRMED,6.73968289,1.48,1011.0,246.9,5511.0,1.176,280.82339,42.636051
CONFIRMED,41.74598855,2.4,584.0,27.58,5978.0,1.171,289.6644,48.706211
FALSE POSITIVE,75.378004,3.82,455.0,10.13,5876.0,1.077,297.62936,41.637459
CONFIRMED,213.258526,2.72,202.0,0.39,4477.0,0.637,290.37631,41.150742
CONFIRMED,100.2830675,2.51,475.0,12.07,6214.0,1.297,289.34732,44.208511
CONFIRMED,4.871223664,1.56,341.0,3.18,3157.0,0.18,298.73611,46.498634
CONFIRMED,2.984157711,0.92,401.0,6.12,3157.0,0.18,298.73611,46.498634
CONFIRMED,2.8867624,1.24,557.0,22.75,3483.0,0.389,290.95615,49.366398
FALSE POSITIVE,0.498434645,1.08,1676.0,1873.28,4784.0,0.708,286.0499,38.960201
CANDIDATE,2.252976718,1.19,795.0,94.26,4039.0,0.559,291.23148,47.033932
FALSE POSITIVE,2.75505467,1.74,1783.0,2387.41,6257.0,1.748,290.63736,48.883133
FALSE POSITIVE,1.572181216,77.12,3384.0,30903.98,6622.0,4.315,297.11057,39.703911
FALSE POSITIVE,1.28805834,1.08,1736.0,2142.23,5631.0,1.132,291.25308,40.216671
FALSE POSITIVE,2.72288246,1.06,1162.0,431.75,5458.0,0.872,297.38028,39.941071
CONFIRMED,1.574090323,0.93,998.0,234.92,4313.0,0.65,288.41653,47.878731
FALSE POSITIVE,0.947738312,0.88,1229.0,537.85,4464.0,0.638,290.73154,39.920269
CONFIRMED,13.7872627,1.55,894.0,150.64,5691.0,1.458,290.66412,43.49984
CONFIRMED,14.4359459,1.46,884.0,144.45,6075.0,1.352,285.19,46.027962
CONFIRMED,5.95958637,1.02,897.0,153.48,5452.0,0.9,286.92429,47.053741
CANDIDATE,16.6146221,1.49,604.0,31.48,5295.0,0.8,284.35434,42.388371
FALSE POSITIVE,0.497581917,0.76,1801.0,2487.04,5271.0,0.63,295.53534,39.40818
CANDIDATE,5.83892993,1.19,835.0,114.94,5279.0,0.769,283.39825,46.689789
CONFIRMED,2.279523364,0.87,1123.0,374.78,5017.0,0.797,292.4404,43.209431
CONFIRMED,12.2854718,2.21,434.0,8.39,3891.0,0.564,283.33606,47.174541
CONFIRMED,5.53609368,2.2,566.0,24.23,3891.0,0.564,283.33606,47.174541
CANDIDATE,3.09756897,1.75,1782.0,2380.18,6329.0,1.885,285.07767,46.419601
CONFIRMED,58.0337426,3.21,486.0,13.17,5467.0,1.152,299.50174,40.670799
CONFIRMED,14.4252635,1.68,773.0,84.28,5467.0,1.152,299.50174,40.670799
CONFIRMED,26.6757818,2.69,630.0,37.15,5467.0,1.152,299.50174,40.670799
CONFIRMED,0.868386354,1.52,1389.0,880.33,4792.0,0.704,288.43359,40.380878
CONFIRMED,11.8288843,1.18,730.0,67.13,5653.0,0.857,286.39862,45.343529
CONFIRMED,14.7512034,1.63,678.0,49.97,5653.0,0.857,286.39862,45.343529
FALSE POSITIVE,1.480323978,1.46,1743.0,2180.25,5996.0,1.081,282.01251,46.4282
CANDIDATE,205.385912,2.11,200.0,0.38,4400.0,0.624,290.25385,48.360821
CONFIRMED,6.88707073,1.3,1155.0,420.97,5788.0,1.474,291.38599,41.990269
FALSE POSITIVE,165.75597,15049.8,398.0,5.96,5800.0,1.412,292.62637,44.02113
FALSE POSITIVE,1.11431205,1.07,1635.0,1691.99,5776.0,0.849,295.86008,39.140839
CONFIRMED,3.42064689,2.27,1129.0,382.68,5370.0,0.966,293.56635,42.13258
CANDIDATE,1.23935745,1.5,1583.0,1488.51,5370.0,0.966,293.56635,42.13258
CONFIRMED,0.675650404,1.36,2085.0,4473.06,5966.0,0.961,294.76697,41.64468
CANDIDATE,1.407020118,1.12,1350.0,782.45,5022.0,0.849,290.43323,51.626041
CANDIDATE,24.4359956,2.31,674.0,48.81,6197.0,1.035,290.54007,41.09304
FALSE POSITIVE,17.7337356,1.24,597.0,29.95,5335.0,0.831,290.2471,38.33939
FALSE POSITIVE,10.06478627,1.49,729.0,66.74,5438.0,0.82,288.96942,44.359009
FALSE POSITIVE,1.12976597,0.83,1429.0,987.44,5366.0,0.715,294.30652,39.765282
CONFIRMED,16.23191704,3.54,926.0,174.1,5919.0,1.585,291.25018,49.231834
FALSE POSITIVE,15.4126766,2.82,618.0,34.56,5240.0,0.856,296.54736,39.222542
FALSE POSITIVE,1.110599919,1.07,1539.0,1320.65,5227.0,0.867,286.86526,41.796021
CONFIRMED,21.86965714,1.51,790.0,92.0,6214.0,1.297,289.34732,44.208511
CONFIRMED,9.02436414,1.62,939.0,183.39,5885.0,1.111,290.94449,40.480042
CONFIRMED,17.3408735,1.43,755.0,76.86,5885.0,1.111,290.94449,40.480042
FALSE POSITIVE,0.814280672,1.91,2563.0,10224.99,6366.0,1.543,292.49802,49.329006
FALSE POSITIVE,0.878855771,1.57,1864.0,2857.19,5727.0,0.937,294.57697,38.265518
FALSE POSITIVE,2.49432176,8.91,1342.0,766.49,5780.0,1.0,294.1062,46.210991
CANDIDATE,17.57704569,27.21,673.0,48.33,5653.0,0.901,285.09872,41.775921
FALSE POSITIVE,1.00652785,1.03,1815.0,2556.97,6089.0,0.889,294.63834,39.39798
FALSE POSITIVE,1.99566293,1.11,1182.0,462.26,5235.0,0.771,297.82056,41.96693
FALSE POSITIVE,0.755111225,1.38,1999.0,3759.62,5780.0,1.0,284.35446,40.723286
CANDIDATE,1.400755743,1.3,1628.0,1659.74,5487.0,1.072,287.19247,39.626148
CONFIRMED,25.8730914,2.88,667.0,46.82,6036.0,1.093,285.79724,40.93618
CONFIRMED,20.2642023,2.12,770.0,82.92,5937.0,1.291,284.56567,41.778481
CANDIDATE,1.28132831,4.52,2215.0,5673.71,5918.0,1.596,295.10114,40.986679
CONFIRMED,7.44136102,1.33,1075.0,315.02,5937.0,1.291,284.56567,41.778481
CONFIRMED,99.2532336,2.17,300.0,1.93,5010.0,0.715,285.71741,44.758419
FALSE POSITIVE,3.84933401,2.12,1147.0,408.84,5984.0,0.906,294.36057,38.948181
CANDIDATE,119.0833042,22.19,240.0,0.78,4412.0,0.623,295.67798,51.257839
CANDIDATE,27.8813154,1.54,681.0,50.86,6434.0,1.055,299.6611,44.112381
CONFIRMED,6.4802138,1.26,934.0,180.05,5496.0,0.983,298.66235,48.24876
CANDIDATE,7.50790041,1.77,1138.0,396.33,6408.0,1.337,297.74728,48.694309
FALSE POSITIVE,21.3910125,1.72,483.0,12.88,4889.0,0.686,290.28503,40.689362
CONFIRMED,14.3832267,1.84,889.0,147.78,6115.0,1.291,290.08276,50.86348
CONFIRMED,47.3186631,2.1,598.0,30.22,6115.0,1.291,290.08276,50.86348
CONFIRMED,11.12827427,4.04,408.0,6.52,3640.0,0.503,294.52859,46.640968
CONFIRMED,2.21571296,1.7,1283.0,638.56,5417.0,0.901,297.02008,43.432549
CONFIRMED,34.4585495,1.88,559.0,23.05,6161.0,0.862,296.77283,50.188419
CONFIRMED,3.35184041,1.88,1294.0,661.69,6198.0,1.005,294.29453,50.725368
FALSE POSITIVE,1.615758517,1.31,2158.0,5140.67,5622.0,2.017,299.05725,44.074902
CANDIDATE,110.3783828,3.02,473.0,11.82,6342.0,1.359,285.72879,38.506973
CONFIRMED,3.4462125,0.7,1015.0,251.24,5374.0,0.721,288.83136,47.551991
CONFIRMED,2.005414293,0.65,1216.0,516.85,5374.0,0.721,288.83136,47.551991
CANDIDATE,4.28886792,0.57,944.0,187.43,5374.0,0.721,288.83136,47.551991
FALSE POSITIVE,1.868564038,1.4,1565.0,1417.56,6065.0,1.023,289.64764,43.579182
CANDIDATE,24.5752524,1.64,316.0,2.35,3678.0,0.512,287.94861,42.156139
CONFIRMED,15.1408916,1.93,714.0,61.42,5926.0,0.887,288.76697,46.394421
CONFIRMED,11.39169531,1.02,886.0,145.67,5557.0,1.249,289.39474,41.782349
CANDIDATE,10.1747037,1.04,985.0,222.53,5866.0,1.339,285.87579,41.332432
CONFIRMED,2.44358543,0.67,1249.0,574.37,5561.0,0.873,284.45947,40.142559
FALSE POSITIVE,1.7592691,1.21,1519.0,1254.94,5784.0,0.984,295.23151,44.1129
CONFIRMED,2.226496196,2.1,697.0,55.76,3640.0,0.503,294.52859,46.640968
CONFIRMED,5.72084599,1.78,509.0,15.84,3640.0,0.503,294.52859,46.640968
CONFIRMED,0.962864171,1.52,1666.0,1828.67,5704.0,0.804,293.20453,45.435398
CONFIRMED,16.23847733,2.76,711.0,60.35,5683.0,0.993,297.06961,40.525131
CONFIRMED,6.46004728,1.8,883.0,144.06,5704.0,0.804,293.20453,45.435398
CONFIRMED,4.76831033,1.78,1219.0,522.81,6237.0,1.116,287.0863,46.945808
CONFIRMED,44.616751,2.31,693.0,54.56,6763.0,1.424,292.47797,46.022831
FALSE POSITIVE,1.714410345,1.84,2551.0,10025.53,6340.0,2.498,291.68573,39.42886
CONFIRMED,3.40165617,1.34,1236.0,552.42,6177.0,0.906,291.84131,45.17918
CONFIRMED,14.00948631,0.98,617.0,34.32,5153.0,0.767,299.65961,40.843849
FALSE POSITIVE,1.703359172,0.69,1525.0,1284.58,6026.0,0.904,293.07806,38.359081
FALSE POSITIVE,3.77881664,3.99,2580.0,10473.57,6115.0,5.544,292.23782,39.00507
CONFIRMED,1.311558909,1.15,1655.0,1776.99,5926.0,0.963,288.88663,44.83955
CONFIRMED,1.291233083,0.89,1887.0,2993.7,6384.0,1.086,285.75204,39.24921
